rounds,nl,sbox_name,hidden_size,avalanche_effect,is_random,plaintext_type,avg_cos,std_cos,bit_acc,avg_bit_acc,word_acc,total_samples
9,4,default_sbox,1024,,False,text,0.7046879233521183,0.0484437158157729,49.72,49.7229609929078,0.0,141
9,4,default_sbox,128,,False,text,0.7027423077335072,0.04831739376044566,49.66,49.656471631205676,0.0,141
9,4,default_sbox,256,,False,text,0.7046363758734423,0.048485492506847055,49.5,49.50132978723404,0.0,141
9,4,default_sbox,512,,False,text,0.7047545543595927,0.048465631641915245,49.67,49.66755319148936,0.0,141
10,0,perfectly_linear,1024,,True,random,0.711691963900434,0.045420552787477496,55.45,55.452127659574465,0.0,141
10,0,perfectly_linear,128,,True,random,0.7166925802565599,0.045071694806613175,56.98,56.9813829787234,0.0,141
10,0,perfectly_linear,256,,True,random,0.7157565289025921,0.045128126769298726,56.15,56.150265957446805,0.0,141
10,0,perfectly_linear,512,,True,random,0.7111467977661169,0.04509143831791094,53.4,53.4020390070922,0.0,141
10,2,nonlinearity_two,1024,,True,random,0.7010801655913924,0.048046985493544504,50.14,50.14406028368794,0.0,141
10,2,nonlinearity_two,128,,True,random,0.7006886481029861,0.04786134177943577,49.81,49.8116134751773,0.0,141
10,2,nonlinearity_two,256,,True,random,0.7011250437492801,0.04806090958805204,50.11,50.11081560283688,0.0,141
10,2,nonlinearity_two,512,,True,random,0.7010658641594235,0.048045030755677565,50.18,50.177304964539005,0.0,141
10,4,default_sbox,1024,,True,random,0.7073446966086153,0.04297493251582505,50.38,50.376773049645394,0.0,141
10,4,default_sbox,128,,True,random,0.7024680917960412,0.0440036805174581,50.07,50.066489361702125,0.0,141
10,4,default_sbox,256,,True,random,0.7072898453804612,0.042917552462931594,50.01,50.011081560283685,0.0,141
10,4,default_sbox,512,,True,random,0.7073068846459794,0.043033135889875965,50.41,50.410017730496456,0.0,141
16,0,perfectly_linear,1024,,True,random,0.7044081775175658,0.04346326099371163,50.73,50.7313829787234,0.0,141
